sentiment_id,period_start,period_end,period_type,customer_id,service_id,product_id,category,total_records,positive_count,neutral_count,negative_count,positive_pct,neutral_pct,negative_pct,avg_sentiment_score
bda84123-d1f6-4f27-9cec-11f749fabeff,2025-10-01,2025-11-01,monthly,,,,,120,80,25,15,65.00,20.00,15.00,0.4500
032491fe-57b6-47b9-8919-848bb174902f,2025-11-01,2025-12-01,monthly,,,,,135,90,27,18,68.00,19.00,13.00,0.4700
0ff3de47-d4d8-4085-a2a2-f1e13553d659,2025-12-01,2026-01-01,monthly,,,,,150,100,29,21,71.00,18.00,11.00,0.4900
e28c621e-35c4-4192-82d9-64f52e74ccd9,2026-01-01,2026-02-01,monthly,,,,,165,110,31,24,74.00,11.00,15.00,0.5100
69510c99-9944-40f4-8e4e-b91ecf8bd4eb,2026-02-01,2026-03-01,monthly,,,,,180,120,33,27,65.00,22.00,13.00,0.5300
ca6f9b97-4e46-43e3-884a-e9a498c20f08,2026-03-01,2026-04-01,monthly,,,,,195,130,35,30,68.00,21.00,11.00,0.5500
1a52b42a-c4f1-4272-a0c9-44c09c5465b0,2026-04-01,2026-05-01,monthly,,,,,210,140,37,33,71.00,14.00,15.00,0.5700
a2b7321e-56f5-4f00-a398-5d62815670a0,2026-05-01,2026-06-01,monthly,,,,,225,150,39,36,74.00,13.00,13.00,0.5900
38381d3c-02cf-4dfc-9d0d-e3fa6ee52ea8,2026-06-01,2026-07-01,monthly,,,,,240,160,41,39,65.00,24.00,11.00,0.6100
3642bb9e-256b-4c16-be02-dd626eb22cba,2026-07-01,2026-08-01,monthly,,,,,255,170,43,42,68.00,17.00,15.00,0.6300
f1b984cc-a8a9-4b64-b0c7-c3cf543bdc7d,2026-08-01,2026-09-01,monthly,,,,,270,180,45,45,71.00,16.00,13.00,0.6500
9e845e13-80c2-4a88-9a69-d35d3e499592,2026-09-01,2026-10-01,monthly,,,,,285,190,47,48,74.00,15.00,11.00,0.6700
