customer_id,customer_code,customer_name,company,industry,region,country,tier,contract_value,since_date,is_active,health_score,churn_risk_score,risk_level,trend,churn_probability,ticket_count_30d,incident_count_30d,sla_breach_count_30d,avg_resolution_hours,created_at
3b3b002c-6d8d-4850-a8c2-97a674416a1b,CUST_001,Acme Global Enterprise,Acme Corp,Financial Services,North America,United States,enterprise,750000.0,2023-01-15,True,42.5,0.78,CRITICAL,DETERIORATING,0.78,8,,3,,2026-09-08 18:04:19.217182+05:30
1692748d-1136-4802-8200-e5d7235a0608,CUST_002,TechCorp Solutions Ltd,TechCorp,Software & Technology,North America,United States,enterprise,520000.0,2023-01-15,True,88.0,0.12,LOW,IMPROVING,0.12,2,,0,,2026-09-08 18:04:19.217182+05:30
2cf4b07d-5d16-4be6-b6ee-de79e1855b0f,CUST_003,FinTech Horizon Bank,FinTech Horizon,Banking,Europe,United Kingdom,enterprise,980000.0,2023-01-15,True,58.0,0.61,HIGH,DETERIORATING,0.61,2,,0,,2026-09-08 18:04:19.217182+05:30
5a451204-960a-4c73-a440-63c566d0ec87,CUST_004,CloudScale Infrastructure,CloudScale,Cloud Computing,North America,Canada,mid-market,240000.0,2023-01-15,True,92.5,0.08,LOW,IMPROVING,0.08,2,,0,,2026-09-08 18:04:19.217182+05:30
baa76478-9c0c-4bee-805b-834b71eb290e,CUST_005,RetailGiant Omnichannel,RetailGiant Inc,Retail & E-commerce,Europe,Germany,enterprise,640000.0,2023-01-15,True,51.0,0.69,HIGH,DETERIORATING,0.69,2,,0,,2026-09-08 18:04:19.217182+05:30
1191739d-b4eb-48f4-964c-e78ad8f1d455,CUST_006,BioHealth Pharmaceuticals,BioHealth Group,Healthcare,North America,United States,enterprise,810000.0,2023-01-15,True,79.0,0.22,LOW,IMPROVING,0.22,2,,0,,2026-09-08 18:04:19.217182+05:30
034d1dd6-d8cc-47f3-8275-f37b7ac5537a,CUST_007,MediaStream Entertainment,MediaStream,Digital Media,Asia-Pacific,Singapore,mid-market,180000.0,2023-01-15,True,67.0,0.41,MEDIUM,IMPROVING,0.41,2,,0,,2026-09-08 18:04:19.217182+05:30
19073436-e0e7-404c-9698-9d78d8321e9c,CUST_008,Nexus Global Logistics,Nexus Logistics,Supply Chain,Europe,Netherlands,enterprise,430000.0,2023-01-15,True,73.0,0.28,MEDIUM,IMPROVING,0.28,2,,0,,2026-09-08 18:04:19.217182+05:30
9ee790ac-be9a-42fc-8c51-c479ce5e94bc,CUST_009,CyberShield Defense,CyberShield Inc,Cybersecurity,North America,United States,mid-market,310000.0,2023-01-15,True,85.0,0.15,LOW,IMPROVING,0.15,2,,0,,2026-09-08 18:04:19.217182+05:30
2143eb89-f607-4516-9fb6-3205b90b3655,CUST_010,Quantum Dynamics AI,Quantum AI,Artificial Intelligence,Asia-Pacific,Japan,smb,95000.0,2023-01-15,True,62.0,0.45,MEDIUM,IMPROVING,0.45,2,,0,,2026-09-08 18:04:19.217182+05:30
